"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00010","MED-100","MED","003","16.0","16.0","First Year Medicine","C","","Y","TBA","TBA","","185","","Ben-Ari, Ron;Nash, Kevin","OFFICE","185","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20211"
"00020","MED-200","MED","047","16.0","16.0","Second Year Medicine","C","","Y","TBA","TBA","","188","","Ben-Ari, Ron;Nash, Kevin","OFFICE","188","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20211"
"00030","MED-300","MED","049","16.0","16.0","Third Year Medicine","C","","Y","TBA","TBA","","182","","Ben-Ari, Ron;Nash, Kevin","","182","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20211"
"00040","MED-400","MED","080","16.0","16.0","Fourth Year Medicine","C","","Y","TBA","TBA","","190","","Ben-Ari, Ron;Nash, Kevin","OFFICE","190","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20211"
"00072","MED-750","MED","017","16.0","16.0","Special Medicine","C","","Y","TBA","TBA","","26","","Hinton, David, R.","OFFICE","26","For registration and fee purposes only.","","MED","20211"
"00214","PDF-999","RNR","074","0.0","0.0","Postdoctoral Fellows","C","","Y","TBA","TBA","","187","","","OFFICE","187","Course created for visiting postdoctoral fellows scholars.  The course is created for enrollment purposes, zero units, full time status, scheduled in session 018, and never appears in the student academic records system.","","PDF","20211"
"00300","USC-300","LASO","717","2.0","2.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","31","","","","31","Block enrollment course for registration purposes only.","","USC","20211"
"00301","USC-300","LASO","717","3.0","3.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","6","","","","6","Block enrollment course for registration purposes only.","","USC","20211"
"00302","USC-300","LASO","717","5.0","5.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","0","","","","0","Block enrollment course for registration purposes only.","","USC","20211"
"00358","SPAN-464","LASH","001","4.0","4.0","Introduction to Contemporary Spanish Theatre","C","","N","TBA","TBA","","0","","","","0","(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN","20211"
