"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
"10125","ALI-244","LAS",50,2,2,"Academic and Professional Speaking Skills III","C","","N","13:00","14:50","MTWH",0,"A","","ONLINE",0,"Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20212"
"10132","ALI-245","LAS",50,2,2,"Academic and Professional Writing III","C","N","Y","10:00","11:50","MTWH",11,"A","Kang, Nina","ONLINE",11,"Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20212"
"10135","ALI-252","LASH",52,2,2,"Advanced Pronunciation","C","","Y","17:00","19:50","MTWH",9,"A","Tzoytzoyrakos, Anastassia","ONLINE",9,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20212"
"10136","ALI-252","LASH",52,2,2,"Advanced Pronunciation","C","","Y","8:00","10:50","MTWH",5,"A","Griner, Barry, David","ONLINE",5,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20212"
"10137","ALI-252","LASH",50,2,2,"Advanced Pronunciation","C","","N","10:00","11:50","MTWH",0,"A","Tzoytzoyrakos, Anastassia","ONLINE",0,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20212"
"10144","ALI-255","LAS",50,2,2,"Academic and Professional Writing Skills IV","C","","N","17:00","18:50","MTWH",0,"A","Kirkpatrick, Juli, Ann","ONLINE",0,"Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20212"
"10170","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","Y","12:00","15:50","MW",10,"A","Polk, James","ONLINE",10,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20212"
"10171","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","Y","15:00","18:50","MW",9,"A","Jones, Richard","ONLINE",9,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20212"
"10172","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","Y","12:00","15:50","TH",7,"A","Murphy, Mary Ann","ONLINE",7,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20212"
"10173","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","Y","15:00","18:50","TH",5,"A","Levin, Tracy, Frances","ONLINE",5,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20212"
