"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
10,"MED-100","MED",3,16,16,"First Year Medicine","C","","Y","TBA","TBA","",185,"","Ben-Ari, Ron;Nash, Kevin","OFFICE",185,"FOR REGISTRATION AND FEE PURPOSES ONLY.","Keck School of Medicine","MED","20211"
20,"MED-200","MED",47,16,16,"Second Year Medicine","C","","Y","TBA","TBA","",188,"","Ben-Ari, Ron;Nash, Kevin","OFFICE",188,"FOR REGISTRATION AND FEE PURPOSES ONLY.","Keck School of Medicine","MED","20211"
30,"MED-300","MED",49,16,16,"Third Year Medicine","C","","Y","TBA","TBA","",182,"","Ben-Ari, Ron;Nash, Kevin","",182,"FOR REGISTRATION AND FEE PURPOSES ONLY.","Keck School of Medicine","MED","20211"
40,"MED-400","MED",80,16,16,"Fourth Year Medicine","C","","Y","TBA","TBA","",190,"","Ben-Ari, Ron;Nash, Kevin","OFFICE",190,"FOR REGISTRATION AND FEE PURPOSES ONLY.","Keck School of Medicine","MED","20211"
72,"MED-750","MED",17,16,16,"Special Medicine","C","","Y","TBA","TBA","",26,"","Hinton, David, R.","OFFICE",26,"For registration and fee purposes only.","Keck School of Medicine","MED","20211"
300,"USC-300","LASO",717,2,2,"Overseas Block Enrollment","C","","Y","TBA","TBA","",31,"","","",31,"Block enrollment course for registration purposes only.","LAS - Other Programs","USC","20211"
301,"USC-300","LASO",717,3,3,"Overseas Block Enrollment","C","","Y","TBA","TBA","",6,"","","",6,"Block enrollment course for registration purposes only.","LAS - Other Programs","USC","20211"
302,"USC-300","LASO",717,5,5,"Overseas Block Enrollment","C","","Y","TBA","TBA","",0,"","","",0,"Block enrollment course for registration purposes only.","LAS - Other Programs","USC","20211"
358,"SPAN-464","LASH",1,4,4,"Introduction to Contemporary Spanish Theatre","C","","N","TBA","TBA","",0,"","","",0,"(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","LAS- Humanities","SPAN","20211"
461,"USC-300","LASO",717,4,4,"Overseas Block Enrollment","C","","Y","TBA","TBA","",3,"","","",3,"Block enrollment course for registration purposes only.","LAS - Other Programs","USC","20211"
901,"USC-099","BUAD",193,1,18,"WBB Semester At Large","C","","Y","TBA","TBA","",60,"","","OFFICE",60,"This is a zero unit, zero cost class to maintain USC student status for WBB students while they are away studying at KHUST and Bocconi.  Enrollment in this class will grant full time student status at USC with access to student services.","Gordon S. Marshall School of Business","USC","20211"
903,"USC-099","BUAD",828,1,16,"WBB Semester At Large","C","","Y","TBA","TBA","",59,"","","OFFICE",59,"This is a zero unit, zero cost class to maintain USC student status for WBB students while they are away studying at KHUST and Bocconi.  Enrollment in this class will grant full time student status at USC with access to student services.","Gordon S. Marshall School of Business","USC","20211"
2607,"LAW-300","LAW",60,4,4,"Concepts in American Law","C","","Y","14:00","15:50","MW",63,"A","Jimenez, Felipe","ONLINE",63,"The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","Gould School of Law","LAW","20211"
2613,"LAW-210","LAW",60,4,4,"Fundamentals of the U.S. Legal System","C","","Y","12:00","13:40","MW",70,"A","Scotten, Donald","ONLINE",70,"Introduces the U.S. legal system and its relationship to basic principles of the rule of law. Examines the criminal and the civil law systems, focusing on Supreme Court decisions involving the separation of powers, federalism and contemporary legal issues.","Gould School of Law","LAW","20211"
2614,"LAW-205","LAW",60,4,4,"Introduction to Criminal Law","C","","Y","12:00","13:40","TH",22,"A","Johnson, Peter","ONLINE",22,"Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","Gould School of Law","LAW","20211"
2620,"LAW-403","LAW",60,4,4,"Mental Health Law","C","","Y","15:30","18:50","T",42,"A","Pleasants, Gregory","ONLINE",42,"Issues at the intersection of law and psychology, both civil--e.g. civil commitment--and criminal-e.g. the insanity defense. Emphasis on ethical issues.","Gould School of Law","LAW","20211"
2625,"LAW-250","LAW",60,4,4,"Children and the Law","C","","Y","15:30","18:50","W",22,"A","Henderson, Hayden","ONLINE",22,"Examines topics such as children's suggestibility, decision-making, and risk and resiliency all as they apply to legal settings.","Gould School of Law","LAW","20211"
2629,"LAW-275","LAW",60,4,4,"The Origin and Evolution of American Civil Rights Law","C","","Y","14:00","15:50","TH",18,"A","Rich, Stephen, M.","ONLINE",18,"Traces the development of U.S. constitutional and statutory mechanisms designed to fulfill the promise of equality under the law.","Gould School of Law","LAW","20211"
2632,"LAW-350","LAW",1,4,4,"Law and Entrepreneurship","C","","Y","10:00","11:50","TH",15,"A","Chasalow, Michael","ONLINE",15,"Examines areas of the law that impact entrepreneurs, starting, operating and financing businesses. Topics include: selection of business entities; securities laws and issues that arise in fundraising; employment law; contracts; torts; intellectual property; global expansion; mergers and acquisitions ; and IPOs.","Gould School of Law","LAW","20211"
2633,"LAW-490","LAW",60,2,2,"Directed Research","C","","N","TBA","TBA","",0,"A","","ONLINE",0,"Individual research and readings.","Gould School of Law","LAW","20211"
2634,"LAW-490","LAW",60,1,1,"Directed Research","C","","Y","TBA","TBA","",0,"A","","ONLINE",0,"Individual research and readings.","Gould School of Law","LAW","20211"
2635,"LAW-310","LAW",60,4,4,"Global Justice for Mass Atrocities and Genocide","C","","Y","14:00","15:50","TH",30,"A","Garry, Hannah","ONLINE",30,"Learn about international law and courts trying these cases, while also reflecting on whether criminal trials are the best response to bringing healing and reconciliation to affected societies.","Gould School of Law","LAW","20211"
2662,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","N","10:00","10:50","W",0,"A","Erman, Samuel","ONLINE",0,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2663,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","Y","13:00","13:50","W",26,"A","Erman, Samuel;Slocum, Marian, L.","ONLINE",26,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2664,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","N","13:00","13:50","W",0,"A","Erman, Samuel","ONLINE",0,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2665,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","N","13:00","13:50","W",0,"A","","ONLINE",0,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2680,"LAW-101","LAW",60,4,4,"Law and the U.S. Constitution in Global History","C","","Y","11:00","11:50","MW",139,"A","Erman, Samuel","ONLINE",139,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2681,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","Y","10:00","10:50","M",27,"A","Erman, Samuel;Ong, Michelle, M.","ONLINE",27,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2682,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","N","10:00","10:50","M",0,"A","","ONLINE",0,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2683,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","Y","10:00","10:50","M",22,"A","Erman, Samuel;Ibekwe, Afam","ONLINE",22,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2684,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","Y","13:00","13:50","M",25,"A","Erman, Samuel;Ong, Michelle, M.","ONLINE",25,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2685,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","N","13:00","13:50","M",0,"A","","ONLINE",0,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2686,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","Y","13:00","13:50","M",13,"A","Erman, Samuel;Slocum, Marian, L.","ONLINE",13,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
2687,"LAW-101","LAW",60,0,0,"Law and the U.S. Constitution in Global History","D","","Y","10:00","10:50","W",26,"A","Erman, Samuel;Ibekwe, Afam","ONLINE",26,"By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","Gould School of Law","LAW","20211"
3030,"LAW-504","LAW",991,3,3,"Criminal Law","C","","Y","9:00","10:15","MW",60,"A","Prieto Rudolphy, Marcela","ONLINE",60,"The crime problem and the legislative response to it through substantive criminal law; administration of criminal justice through police, prosecutorial, sentencing, and penological discretion.","Gould School of Law","LAW","20211"
3034,"LAW-504","LAW",991,3,3,"Criminal Law","C","","Y","17:00","18:15","TH",61,"A","Ryo, Emily","ONLINE",61,"The crime problem and the legislative response to it through substantive criminal law; administration of criminal justice through police, prosecutorial, sentencing, and penological discretion.","Gould School of Law","LAW","20211"
3039,"LAW-504","LAW",991,3,3,"Criminal Law","C","","Y","13:30","14:45","TH",60,"A","Armour, Jody, David","ONLINE",60,"The crime problem and the legislative response to it through substantive criminal law; administration of criminal justice through police, prosecutorial, sentencing, and penological discretion.","Gould School of Law","LAW","20211"
3040,"LAW-505","LAW",991,3,3,"Legal Profession","C","","Y","10:30","11:45","MW",83,"A","Keating, Greg","ONLINE",83,"Functions of the lawyer in modern society; history and organization of the legal profession; the adversary system; equal access to justice; other problems of ethics and professional responsibility.","Gould School of Law","LAW","20211"
3044,"LAW-505","LAW",991,3,3,"Legal Profession","C","","Y","10:30","11:45","MW",65,"A","Cadambi, Anitha","ONLINE",65,"Functions of the lawyer in modern society; history and organization of the legal profession; the adversary system; equal access to justice; other problems of ethics and professional responsibility.","Gould School of Law","LAW","20211"
