"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
"10122","ALI-242","LASH",52,2,2,"High Intermediate Pronunciation","C","","Y","9:00","11:50","MTWH",0,"","Griner, Barry, David","CPA104",0,"Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.","LAS- Humanities","ALI","20222"
"10125","ALI-244","LAS",50,2,2,"Academic and Professional Speaking Skills III","C","","Y","13:00","14:50","MTWH",0,"","","THH219",0,"Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20222"
"10132","ALI-245","LAS",52,2,2,"Academic and Professional Writing III","C","N","Y","9:00","11:50","MTWH",0,"","Kang, Nina","THH109",0,"Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20222"
"10135","ALI-252","LASH",52,2,2,"Advanced Pronunciation","C","","Y","10:00","12:50","MTWH",6,"","Tzoytzoyrakos, Anastassia","THH213",6,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20222"
"10136","ALI-252","LASH",52,2,2,"Advanced Pronunciation","C","","N","9:00","11:50","MTWH",0,"","","CPA103",0,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20222"
"10137","ALI-252","LASH",50,2,2,"Advanced Pronunciation","C","","N","10:00","11:50","MTWH",0,"","","THH107",0,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","LAS- Humanities","ALI","20222"
"10144","ALI-255","LAS",50,2,2,"Academic and Professional Writing Skills IV","C","","N","17:00","18:50","MTWH",0,"","","THH105",0,"Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.","Dana and David Dornsife College of Letters, Arts and Sciences","ALI","20222"
"10170","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","N","12:00","15:50","MW",0,"","Murphy, Mary Ann","WPHB26",0,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20222"
"10171","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","Y","15:00","18:50","MW",9,"","Jones, Richard","THH219",9,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20222"
"10172","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","Y","12:00","15:50","TH",8,"","Murphy, Mary Ann","THH107",8,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","LAS- Humanities","ALI","20222"
