"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPTOWNERNAME","DEPARTMENT","origin"
10200,"ACAD-419","ACAD",59,2,2,"Professional Internship","C","","Y","TBA","TBA","",1,"","Dent, Patrick, H","ONLINE",1,"An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.","Jimmy Iovine and Andre Young Academy","ACAD","20202"
10201,"ACAD-490","ACAD",51,1,6,"Directed Research","C","","Y","TBA","TBA","",0,"","Siegel, Aaron","ONLINE",0,"Individual research and readings. Not available for graduate credit.","Jimmy Iovine and Andre Young Academy","ACAD","20202"
10202,"ACAD-419","ACAD",51,2,2,"Professional Internship","C","","Y","TBA","TBA","",1,"","Dent, Patrick, H","ONLINE",1,"An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.","Jimmy Iovine and Andre Young Academy","ACAD","20202"
10230,"ACAD-499","ACAD",552,2,2,"Special Topics","C","","N","TBA","TBA","",1,"","Thomas, Doug","OFFICE",1,"Comprehensive exploration of particular aspects of art, technology and the business of innovation.","Jimmy Iovine and Andre Young Academy","ACAD","20202"
10248,"ACAD-590","ACAD",59,1,3,"Directed Research","C","","Y","TBA","TBA","",0,"","Crowley, Michael, Gregory","OFFICE",0,"Research leading to graduate degree. Maximum units which may be applied to degree determined by department.","Jimmy Iovine and Andre Young Academy","ACAD","20202"
10249,"ACAD-590","ACAD",59,1,3,"Directed Research","C","","Y","TBA","TBA","",0,"","Crowley, Michael, Gregory","OFFICE",0,"Research leading to graduate degree. Maximum units which may be applied to degree determined by department.","Jimmy Iovine and Andre Young Academy","ACAD","20202"
11204,"ARCH-105","ARCH",51,2,2,"Fundamentals of Design Communication","CL","","Y","12:00","16:50","TH",5,"","Olvera, Lee, Schuyler","OFFICE",5,"Visual communication techniques applicable to the design of the built environment; drawing, photography, modeling.","School of Architecture","ARCH","20202"
11205,"ARCH-102A","ARCH",51,4,4,"Architectural Design I","CL","","Y","12:00","17:50","MWF",5,"","Augustin, Valery","OFFICE",5,"Introduction to principles and processes; sequence of exercises emphasizing development of basic skills, ideas, and techniques used in the design of simplified architectural projects.","School of Architecture","ARCH","20202"
11206,"ARCH-102B","ARCH",51,4,4,"Architectural Design I","CL","","Y","12:00","17:50","MWF",0,"","","OFFICE",0,"Introduction to principles and processes; sequence of exercises emphasizing development of basic skills, ideas, and techniques used in the design of simplified architectural projects.","School of Architecture","ARCH","20202"
11227,"ARCH-302B","ARCH",850,6,6,"Architectural Design III","CL","","N","09:00 13:00","11:50 17:50","MWF MWF",0,"","","OFFICE OFFICE",0,"Special integrative year including design issues relating to housing.","School of Architecture","ARCH","20202"
11232,"ARCH-580","ARCH",661,4,4,"Field Studies","CL","","N","TBA","TBA","",0,"","","OFFICE",0,"Off-campus field studies using direct observation, site recordings/documentation, analysis and evaluation supplemented by discussions and readings.","School of Architecture","ARCH","20202"
11233,"ARCH-580","ARCH",722,4,4,"Field Studies","CL","","Y","TBA","TBA","",9,"","Robinson, Alexander","OFFICE",9,"Off-campus field studies using direct observation, site recordings/documentation, analysis and evaluation supplemented by discussions and readings.","School of Architecture","ARCH","20202"
11258,"ARCH-524","ARCH",59,1,1,"Professional Practicum","C","","Y","TBA","TBA","",9,"","Noble, Douglas","OFFICE",9,"Comparative studies of professional practice between U.S. firms and firms in other countries. Open to international upper-division undergraduate and graduate architecture students only. Graded CR/NC.","School of Architecture","ARCH","20202"
11259,"ARCH-524","ARCH",51,1,1,"Professional Practicum","C","","Y","TBA","TBA","",1,"","Noble, Douglas","OFFICE",1,"Comparative studies of professional practice between U.S. firms and firms in other countries. Open to international upper-division undergraduate and graduate architecture students only. Graded CR/NC.","School of Architecture","ARCH","20202"
