"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"10","MED-100","MED","3","16","16","First Year Medicine","C","","Y","","","","190","","Ben-Ari, Ron;Nash, Kevin","OFFICE","190","FOR REGISTRATION AND FEE PURPOSES ONLY.","MED","20233"
"10101","ALI-224","PROV","1","2","2","Academic and Professional Speaking Skills I","C","","N","14:00:00","15:20:00","MW","0","","","SOSB38","0","Required for international students whose oral skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10102","ALI-224","PROV","1","2","2","Academic and Professional Speaking Skills I","C","","Y","11:00:00","12:20:00","TH","0","","","DCCB23","0","Required for international students whose oral skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10103","ALI-224","PROV","1","2","2","Academic and Professional Speaking Skills I","C","","Y","14:00:00","15:20:00","TH","0","","","SOSB43","0","Required for international students whose oral skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10105","ALI-225","LAS","1","2","2","Academic and Professional Writing Skills I","C","","Y","16:00:00","17:20:00","MW","0","","","WPH104","0","Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10106","ALI-225","LAS","1","2","2","Academic and Professional Writing Skills I","C","","N","16:00:00","17:20:00","TH","0","","","THHB10","0","Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10109","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","N","08:30:00","09:50:00","MW","0","","","OFFICE","0","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10110","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","N","08:30:00","09:50:00","MW","0","","","OFFICE","0","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10111","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","N","12:00:00","13:20:00","MW","0","","","SOSB51","0","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10112","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","Y","12:00:00","13:20:00","TH","1","","","WPH603","1","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10113","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","Y","14:00:00","15:20:00","MW","0","","","SOSB47","0","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10114","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","N","14:00:00","15:20:00","MW","0","","","DMC153","0","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10115","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","Y","14:00:00","15:20:00","TH","0","","","DMC153","0","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
"10116","ALI-234","LAS","1","2","2","Academic and Professional Speaking Skills II","C","","N","14:00:00","15:20:00","TH","0","","","OFFICE","0","Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20233"
