"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"10122","ALI-242","LASH",52,2,2,"High Intermediate Pronunciation","C","","Y","9:00","11:50","MTWH",0,"","","DMC108",0,"Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.","ALI","20242"
"10125","ALI-244","LAS",50,2,2,"Academic and Professional Speaking Skills III","C","","Y","13:00","14:50","MTWH",0,"","","DMC108",0,"Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20242"
"10132","ALI-245","LAS",52,2,2,"Academic and Professional Writing III","C","","Y","9:00","11:50","MTWH",0,"","","THH117",0,"Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.","ALI","20242"
"10135","ALI-252","LASH",52,2,2,"Advanced Pronunciation","C","","N","10:00","12:50","MTWH",0,"","","DMC208",0,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","ALI","20242"
"10137","ALI-252","LASH",50,2,2,"Advanced Pronunciation","C","","N","10:00","11:50","MTWH",0,"","","THH209",0,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","ALI","20242"
"10138","ALI-252","LASH",51,2,2,"Advanced Pronunciation","C","","N","12:00","13:50","MTWH",0,"","","DMC204",0,"Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.","ALI","20242"
"10144","ALI-255","LAS",50,2,2,"Academic and Professional Writing Skills IV","C","","Y","17:00","18:50","MTWH",0,"","","THH115",0,"Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.","ALI","20242"
"10170","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","Y","12:00","15:50","MW",0,"","Murphy, Mary Ann","THH113",0,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","ALI","20242"
"10171","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","N","15:00","18:50","MW",0,"","","THH205",0,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","ALI","20242"
"10172","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","Y","12:00","15:50","TH",0,"","Jones, Richard","THH113",0,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","ALI","20242"
"10173","ALI-275","LASH",50,2,2,"Writing for Publication and Dissertations","C","","N","15:00","18:50","TH",0,"","","THH205",0,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.","ALI","20242"
"10174","ALI-276","LAS",50,2,2,"Workshop for International Teaching Assistants","C","","Y","10:00","11:50","MTWH",0,"","Aarsen, Lucienne, Louise","THH113",0,"Language assistance and individualized instruction to help International Teaching Assistants develop the skills and language proficiency necessary to perform their classroom duties.  Graded CR/NC.","ALI","20242"
"10175","ALI-276","LAS",50,2,2,"Workshop for International Teaching Assistants","C","","N","10:00","11:50","MTWH",0,"","","THH115",0,"Language assistance and individualized instruction to help International Teaching Assistants develop the skills and language proficiency necessary to perform their classroom duties.  Graded CR/NC.","ALI","20242"
"10310","AMST-101","LASS",51,4,4,"Race and Class in Los Angeles","CD","","Y","9:00","11:50","TWH",0,"A","Nieva, Chrisshonna, Grant","ONLINE",0,"Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","AMST","20242"
"10320","AMST-135","LAS",50,4,4,"Peoples and Cultures of the Americas","CD","","Y","12:30","15:20","TWH",0,"","Chavez, Alicia, L.","ONLINE",0,"An introduction to cultures and people in the Americas; the social, historical, economic and cultural formations that together make up the Latino/a American imaginary.","AMST","20242"
"10347","AMST-200","LAS",50,4,4,"Introduction to American Studies and Ethnicity","CD","","Y","9:00","11:50","TWH",0,"","Chavez, Alicia, L.","ONLINE",0,"Introduction to American studies and ethnic studies. Provides an overview of major theories, concepts, and issues.","AMST","20242"
"10360","AMST-205","LAS",50,4,4,"Introduction to American Popular Culture","CD","","Y","9:00","11:50","MWF",0,"","Mitchell, Joshua","ONLINE",0,"Examines the relation between U.S. national culture, race, and popular culture.","AMST","20242"
"10390","AMST-274","LAS",50,4,4,"Exploring Ethnicity through Film","CD","","Y","9:00","11:50","MWF",0,"","Finley, Chris","ONLINE",0,"Examination of the constructions of American ethnicity/race in film.","AMST","20242"
"10399","AMST-285","LASS",51,4,4,"African American Popular Culture","CD","","Y","9:00","11:50","TWH",0,"A","Jacobs, Lanita","ONLINE",0,"Examines history of popular cultural forms such as literature, music, dance, theater, and visual arts produced by and about African Americans.","AMST","20242"
