"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00010","MED-100","MED","003","16.0","16.0","First Year Medicine","C","","Y","TBA","TBA","","190","","Ben-Ari, Ron;Nash, Kevin","OFFICE","190","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20233"
"00020","MED-200","MED","047","16.0","16.0","Second Year Medicine","C","","Y","TBA","TBA","","186","","Ben-Ari, Ron;Nash, Kevin","","186","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20233"
"00030","MED-300","MED","080","16.0","16.0","Third Year Medicine","C","","Y","TBA","TBA","","184","","Ben-Ari, Ron;Nash, Kevin","OFFICE","184","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20233"
"00040","MED-400","MED","049","16.0","16.0","Fourth Year Medicine","C","","Y","TBA","TBA","","174","","Ben-Ari, Ron;Nash, Kevin","OFFICE","174","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20233"
"00070","MED-750","MED","001","16.0","16.0","Special Medicine","C","","Y","TBA","TBA","","0","","Lee, Brian","","0","For registration and fee purposes only.","","MED","20233"
"00071","MED-750","MED","017","16.0","16.0","Special Medicine","C","","Y","TBA","TBA","","31","","Lee, Brian","OFFICE","31","For registration and fee purposes only.","","MED","20233"
"00214","PDF-999","RNR","074","0.0","0.0","Postdoctoral Fellows","C","","Y","TBA","TBA","","276","","","ONLINE","276","Course created for visiting postdoctoral fellows scholars.  The course is created for enrollment purposes, zero units, full time status, scheduled in session 018, and never appears in the student academic records system.","","PDF","20233"
"00300","USC-300","LASO","521","12.0","12.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFF CAMPUS","1","Block enrollment course for registration purposes only.","","USC","20233"
"00354","SPAN-260","LASH","001","4.0","4.0","Advanced Spanish: Arts and Sciences","C","","N","TBA","TBA","","0","","","","0","Development of students' oral and writing skills using literary and scientific materials; grammar review. Duplicates credit in the former SPAN 266.","","SPAN","20233"
"00355","SPAN-302","LAS","001","4.0","4.0","Screen Cultures: From Film to the Internet","C","","N","TBA","TBA","","0","","","","0","A survey of Spanish and Latin American cinema from the silent film era to the present, acquainting students with various critical and theoretical approaches to cinema studies. Conducted in Spanish.","","SPAN","20233"
"00356","SPAN-464","LASH","001","4.0","4.0","Introduction to Contemporary Spanish Theatre","C","","N","TBA","TBA","","0","","","","0","(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN","20233"
"00365","FREN-300","LAS","613","4.0","4.0","French Grammar and Composition","C","","Y","TBA","TBA","","2","","Grimes, Mark","OFFICE","2","Grammatical structure and vocabulary building with practical application to written composition. Prerequisites: FREN 250.","","FREN","20233"
"00366","FREN-330","LASH","613","4.0","4.0","Critical Writing in French","C","","Y","TBA","TBA","","1","","Grimes, Mark","OFFICE","1","Advanced composition through critical reading of literary texts; comprehensive analysis of difficult grammatical structures and stylistics. Prerequisite: FREN 300.","","FREN","20233"
"00367","FREN-464","LAS","613","4.0","4.0","Colloquium: French Civilization","C","","Y","TBA","TBA","","1","","Grimes, Mark","OFFICE","1","Selected topics such as the press, educational institutions, French cinema today, and French colonial history. Conducted in French. Prerequisites: FREN 330.","","FREN","20233"
"00368","FREN-490","LAS","613","2.0","2.0","Directed Research","C","","Y","TBA","TBA","","1","","Grimes, Mark","OFFICE","1","Individual research and readings. Not available for graduate credit.","","FREN","20233"
"00371","AHIS-357","LASH","613","4.0","4.0","History of French Art 1860-1920","C","","Y","TBA","TBA","","3","","Grimes, Mark","OFFCAMPUS","3","(Paris semester only).  Exploration of the main movements of late 19th and early 20th century French art using the resources of Parisian museums and monuments.  Visits to Paris museums are an integral part of the coursework. Recommended preparation: familiarity with modern European history","","AHIS","20233"
"00375","IR-368","LASS","613","4.0","4.0","French Foreign Policy: 1945 to the Present","C","","Y","TBA","TBA","","3","","Grimes, Mark","OFFCAMPUS","3","Introduction to historical, thematic perspectives of French foreign policy since 1945 including review of external and internal constraints influencing foreign policy. (Paris semester only).","","IR","20233"
"00401","USC-300","LASO","335","16.0","16.0","Overseas Block Enrollment","C","","Y","TBA","TBA","","1","","","OFF CAMPUS","1","Block enrollment course for registration purposes only.","","USC","20233"
