"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00020","MED-200","MED","047","4.0","4.0","Second Year Medicine","C","","Y","TBA","TBA","","0","","Ben-Ari, Ron;Diller, David","OFFICE",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20252"
"00030","MED-300","MED","080","4.0","4.0","Third Year Medicine","C","","Y","TBA","TBA","","0","","Ben-Ari, Ron;Diller, David","OFFICE",NA,"FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20252"
"02652","LAW-498","LAW","070","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","2","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02653","LAW-498","LAW","076","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02654","LAW-498","LAW","021","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02655","LAW-498","LAW","022","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02656","LAW-498","LAW","067","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02657","LAW-498","LAW","086","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02658","LAW-498","LAW","096","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02659","LAW-498","LAW","045","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02660","LAW-498","LAW","081","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","1","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"02661","LAW-498","LAW","083","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE",NA,"Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20252"
"03915","LAW-596","LAW","503","1.0","1.0","Internship for Curricular Practical Training","C","","Y","TBA","TBA","","0","","Weiss, Deborah","OFFICE",NA,"Part-time or full-time, practical work experience in the student's field of study. The internship must be located at an off-campus facility. Students are individually supervised by faculty. May not be taken until the student has completed at least one semester of enrollment in the graduate program w ith a cumulative 3.0 GPA.","","LAW","20252"
"04501","LAW-505","LAW","351","2.0","2.0","Legal Profession","C","","N","TBA","TBA","","0","A","Ambrose, Rebecca, L.","ONLINE",NA,"Functions of the lawyer in modern society; history and organization of the legal profession; the adversary system; equal access to justice; other problems of ethics and professional responsibility.","","LAW","20252"
"04502","LAW-510","LAW","351","1.0","1.0","Legal Research","C","","N","TBA","TBA","","0","A","Metheny, Ryan","ONLINE",NA,"Examination of the basic sources of law for federal and California jurisdictions, utilizing a vast array of sources from books to computer-assisted research and analyzing research methodology and techniques. Graded CR/D/F.","","LAW","20252"
"04503","LAW-520","LAW","351","2.0","2.0","Introduction to U.S. Legal System","C","","N","TBA","TBA","","0","A","Cadambi, Anitha","ONLINE",NA,"The basic structure of government in the U.S., including the constitutionally mandated division of power in the federal government and the federal system of power sharing between state and federal systems.  A comparative perspective on selected substantive and procedural matters, such as common law reasoning, jury trials, adversary process, and various aspects of civil procedure.  Open to incoming LL.M. students only.","","LAW","20252"
"04504","LAW-527","LAW","351","2.0","2.0","Intellectual Property: Copyright","C","","N","TBA","TBA","","0","A","Pa Moye, Monica","ONLINE",NA,"Provides an introduction to copyright law, the application of copyright laws in litigation, and the management of copyrighted works.","","LAW","20252"
"04505","LAW-527","LAW","351","2.0","2.0","Intellectual Property: Copyright","C","","N","TBA","TBA","","0","A","Corley, Kanika","ONLINE",NA,"Provides an introduction to copyright law, the application of copyright laws in litigation, and the management of copyrighted works.","","LAW","20252"
"04506","LAW-559","LAW","351","2.0","2.0","Human Resource Compliance","C","","N","TBA","TBA","","0","A","Latortue, Cherise","ONLINE",NA,"Provides an overview of human resource related law, and various legal issues involved in the employment relationship.","","LAW","20252"
