"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00020","MED-200","MED","047","4.0","4.0","Second Year Medicine","C","","Y","TBA","TBA","","192","","Ben-Ari, Ron;Nash, Kevin","OFFICE","192","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20202"
"00030","MED-300","MED","049","4.0","4.0","Third Year Medicine","C","","Y","TBA","TBA","","218","","Ben-Ari, Ron;Nash, Kevin","OFFICE","218","FOR REGISTRATION AND FEE PURPOSES ONLY.","","MED","20202"
"00214","PDF-999","RNR","074","0.0","0.0","Postdoctoral Fellows","C","","Y","TBA","TBA","","265","","","OFFICE","265","Course created for visiting postdoctoral fellows scholars.  The course is created for enrollment purposes, zero units, full time status, scheduled in session 018, and never appears in the student academic records system.","","PDF","20202"
"00295","USC-100","RNR","477","7.0","7.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","Chang, Frank","OFFICE","0","The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20202"
"00296","USC-110","RNR","086","8.0","8.0","Consortium Enrollment (Financial Aid)","C","","Y","TBA","TBA","","3","","","OFFICE","3","Course created for USC students temporarily enrolled at another institution so that they can use the federal and state financial aid to which they are entitled for approved attendance at another institution.--rmm","","USC","20202"
"00297","USC-110","RNR","120","4.0","4.0","Consortium Enrollment (Financial Aid)","C","","Y","TBA","TBA","","1","","","OFFICE","1","Course created for USC students temporarily enrolled at another institution so that they can use the federal and state financial aid to which they are entitled for approved attendance at another institution.--rmm","","USC","20202"
"00298","USC-110","RNR","408","1.0","3.0","Consortium Enrollment (Financial Aid)","C","","Y","TBA","TBA","","1","","","OFFICE","1","Course created for USC students temporarily enrolled at another institution so that they can use the federal and state financial aid to which they are entitled for approved attendance at another institution.--rmm","","USC","20202"
"00299","USC-110","RNR","276","6.0","6.0","Consortium Enrollment (Financial Aid)","C","","Y","TBA","TBA","","1","","","OFFICE","1","Course created for USC students temporarily enrolled at another institution so that they can use the federal and state financial aid to which they are entitled for approved attendance at another institution.--rmm","","USC","20202"
"00300","USC-100","RNR","067","4.0","4.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","","OFFICE","0","The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20202"
"00301","USC-100","RNR","096","8.0","8.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","Chang, Frank","OFFICE","0","The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20202"
"00302","USC-100","RNR","749","8.0","8.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","Chang, Frank","OFFICE","0","The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20202"
"00303","USC-100","RNR","241","6.0","6.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","Chang, Frank","OFFCAMPUS","0","The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20202"
"00304","USC-100","RNR","243","8.0","8.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","","OFFCAMPUS","0","The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20202"
"00306","USC-110","RNR","749","8.0","8.0","Consortium Enrollment (Financial Aid)","C","","Y","TBA","TBA","","1","","","OFFICE","1","Course created for USC students temporarily enrolled at another institution so that they can use the federal and state financial aid to which they are entitled for approved attendance at another institution.--rmm","","USC","20202"
